T,m,sus,bin_cum
3.390000,0.021227,2.598991,-0.067875
3.400000,0.021069,2.903334,-0.132042
3.410000,0.021738,2.614541,0.021757
3.420000,0.022019,2.567917,0.095844
3.430000,0.019954,2.309706,0.021754
3.440000,0.019651,2.179166,-0.009208
3.450000,0.019180,2.641154,-0.414894
3.460000,0.020648,2.524306,-0.003897
3.470000,0.018840,1.941463,0.062179
3.480000,0.019711,2.158748,0.079550
3.490000,0.019365,1.957893,0.120798
3.500000,0.019377,2.213742,-0.011400
3.510000,0.020708,2.107416,0.091123
3.520000,0.018928,2.173018,-0.157256
3.530000,0.019200,2.049186,-0.016666
3.540000,0.018348,1.790126,0.068670
3.550000,0.018359,1.939852,0.034527
3.560000,0.017560,1.898218,-0.012951
3.570000,0.017613,1.756658,-0.108205
3.580000,0.021182,2.412339,0.026089
3.590000,0.019007,2.290353,-0.140266
3.600000,0.020241,2.320460,-0.042637
3.610000,0.019505,1.932414,0.118726
3.620000,0.018388,1.938358,0.036261
3.630000,0.017531,1.679572,0.072571
3.640000,0.017542,1.620880,0.108474
3.650000,0.019496,2.132006,-0.007289
3.660000,0.018186,1.928767,-0.004594
3.670000,0.019672,2.010912,0.110489
3.680000,0.018444,1.882642,0.007106
3.690000,0.018791,1.867258,0.085128
3.700000,0.018233,1.721613,0.095836
3.710000,0.020313,2.599714,-0.090852
3.720000,0.018148,1.826778,0.032898
3.730000,0.018774,1.968490,-0.040183
3.740000,0.020341,2.181716,0.059217
3.750000,0.016700,1.634970,-0.008410
3.760000,0.017223,1.598719,0.099286
3.770000,0.018216,1.696604,0.122164
3.780000,0.018066,1.804760,0.077242
3.790000,0.018640,1.903766,0.070981
3.800000,0.018950,1.975661,0.059476
3.810000,0.016589,1.617146,-0.037582
3.820000,0.017846,1.809469,-0.014419
3.830000,0.018655,1.985707,0.050294
3.840000,0.017224,1.618772,0.039424
3.850000,0.018549,1.835127,0.059224
3.860000,0.017029,1.753900,-0.067849
3.870000,0.016349,1.431804,0.081609
3.880000,0.017395,1.954738,-0.205652
3.890000,0.016255,1.624749,-0.052181
3.900000,0.016659,1.573823,0.045373
3.910000,0.017498,1.725614,0.079680
3.920000,0.016602,1.450360,0.081964
3.930000,0.017439,1.734173,0.040026
3.940000,0.016792,1.681419,0.011172
3.950000,0.018198,2.079453,-0.115573
3.960000,0.016066,1.481040,-0.007907
3.970000,0.016898,1.578800,-0.017613
3.980000,0.016657,1.633385,-0.046098
3.990000,0.016390,1.391592,0.060723
4.000000,0.016203,1.479486,0.019950
4.010000,0.016204,1.357320,0.052467
4.020000,0.016412,1.454551,0.051838
4.030000,0.016498,1.501542,0.003173
4.040000,0.016060,1.567360,-0.152430
4.050000,0.016294,1.416017,0.100796
4.060000,0.016077,1.688067,-0.158300
4.070000,0.016411,1.548084,0.010208
4.080000,0.016675,1.399934,0.144483
4.090000,0.016745,1.599208,-0.041870
4.100000,0.015536,1.241372,0.118521
4.110000,0.015931,1.405184,-0.014762
4.120000,0.015809,1.305121,0.103800
4.130000,0.015315,1.260297,0.044112
4.140000,0.016435,1.472778,-0.006498
4.150000,0.016068,1.544713,-0.085080
4.160000,0.016486,1.441197,0.081572
4.170000,0.015275,1.412787,-0.033985
4.180000,0.016055,1.373669,0.123311
4.190000,0.016524,1.627876,0.009335
4.200000,0.016708,1.540354,-0.044630
4.210000,0.015711,1.355092,0.060159
4.220000,0.017170,1.662606,0.023776
4.230000,0.015223,1.449938,-0.104209
4.240000,0.015946,1.500689,0.055598
4.250000,0.015861,1.464590,0.007140
4.260000,0.015280,1.411331,-0.064232
4.270000,0.015626,1.266759,0.091779
4.280000,0.014741,1.228953,0.000087
4.290000,0.015188,1.279073,-0.069407
4.300000,0.014611,1.218806,-0.044693
4.310000,0.014164,1.147344,0.007267
4.320000,0.014368,1.194267,-0.007591
4.330000,0.015225,1.348893,-0.021192
4.340000,0.014877,1.343926,-0.068044
4.350000,0.014666,1.209980,0.000823
4.360000,0.015802,1.382353,0.025353
4.370000,0.014190,1.282414,-0.073828
4.380000,0.015308,1.280765,0.047872
4.390000,0.015745,1.391927,0.067597
4.400000,0.015518,1.330265,0.071740
4.410000,0.015100,1.304326,-0.016940
4.420000,0.015378,1.173544,0.103035
4.430000,0.015356,1.298547,0.029626
4.440000,0.013978,1.279535,-0.090690
4.450000,0.015839,1.444575,-0.030387
4.460000,0.015260,1.319291,0.035020
4.470000,0.014626,1.271446,-0.051075
4.480000,0.014907,1.218206,0.063472
4.490000,0.015391,1.273676,0.021404
4.500000,0.015166,1.344966,-0.017612
4.510000,0.014450,1.333335,-0.079112
4.520000,0.015026,1.341124,-0.032964
4.530000,0.014443,1.193581,-0.046913
4.540000,0.014728,1.193711,0.025452
4.550000,0.013856,1.138953,-0.055979
4.560000,0.015040,1.260155,-0.027833
4.570000,0.013660,1.033710,0.085784
4.580000,0.014195,1.143419,0.008746
4.590000,0.013314,1.050126,0.011286
4.600000,0.014788,1.229953,-0.004262
4.610000,0.013999,1.051879,0.070432
4.620000,0.014042,1.122805,-0.070347
4.630000,0.014719,1.239048,0.013100
4.640000,0.014286,1.350913,-0.150601
4.650000,0.014760,1.209781,0.048731
4.660000,0.013394,1.059545,-0.007968
4.670000,0.014234,1.119944,0.044470
4.680000,0.014684,1.202426,0.046733
4.690000,0.013798,1.012858,0.069325
4.700000,0.013849,1.128795,-0.039088
4.710000,0.013961,1.114673,-0.012244
4.720000,0.014536,1.195107,0.019201
4.730000,0.013305,1.079180,-0.056320
4.740000,0.013844,1.026179,0.063986
4.750000,0.014827,1.294741,-0.066584
4.760000,0.014901,1.207732,-0.013447
4.770000,0.014032,1.058275,0.057709
4.780000,0.013994,1.062456,0.058687
4.790000,0.013687,1.114562,-0.038968
4.800000,0.013445,1.015405,-0.000704
4.810000,0.013651,1.071843,0.023084
